Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Signup - traveler,100,2564,521,5653,1354.71,0.000%,7.29980,7.58,2.63,1064.0
login - traveler ,200,1162,29,2078,578.62,0.500%,6.94903,7.11,3.13,1048.2
Get Profile,100,1013,91,3047,477.07,0.000%,8.28844,6.80,3.61,840.0
Update Profile,100,2248,1035,4039,469.29,0.000%,7.16589,6.74,3.97,963.0
Get My favourites,100,1147,109,3988,455.93,0.000%,7.66871,2.38,3.47,318.0
Add to favourites,100,1743,985,3000,468.98,0.000%,7.66871,4.24,3.91,566.0
Traveler Auth & Profile,100,10150,5298,16611,1654.35,0.000%,4.61467,21.64,12.18,4803.0
Get All properties,100,1461,926,2049,484.29,0.000%,7.70179,353.22,3.39,46962.6
Search properties,100,1206,133,2047,437.50,0.000%,9.01469,319.10,4.24,36247.8
Property Search,100,2667,1148,4011,654.08,0.000%,7.61905,619.12,6.94,83210.4
logout,100,879,87,2008,462.75,0.000%,9.04323,3.21,6.69,364.0
Signup - owner,100,3214,1378,6209,731.90,0.000%,6.14515,6.07,3.65,1011.0
login - owner,200,1990,153,4446,518.15,0.000%,10.80731,10.54,6.13,999.0
Get owner profile,100,1000,377,3736,433.21,0.000%,6.60458,4.88,2.92,757.0
Update owner profile,100,1045,154,3001,385.54,0.000%,6.74900,5.60,3.44,850.0
Create property,100,613,49,938,246.94,0.000%,7.24113,4.72,5.98,667.0
Update property,100,410,87,1069,414.38,0.000%,7.62079,5.00,4.33,672.0
Delete property,100,728,66,1036,362.64,0.000%,7.63417,2.21,3.79,296.0
Owner Auth & Actions,100,9982,8010,13992,1096.85,0.000%,4.70854,25.82,22.33,5616.0
Create booking,100,243,40,1008,330.43,1.000%,8.78272,5.56,5.18,648.6
Update Booking Status,100,447,4,1062,365.69,1.000%,11.34173,6.86,5.86,619.0
Get Owner Bookings,100,156,31,1066,276.09,0.000%,11.68361,3.03,5.48,266.0
Booking Flow,100,3629,414,6037,1032.77,1.000%,7.94218,27.74,21.55,3576.9
TOTAL,2500,2114,4,16611,2596.55,0.160%,72.83109,553.10,64.14,7776.5
