Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Signup - traveler,500,3115,575,8446,1305.87,0.000%,9.39903,9.77,3.39,1064.0
login - traveler ,1000,1889,14,5175,471.76,0.100%,11.10482,11.40,4.99,1051.2
Get Profile,500,1778,38,4803,485.30,0.200%,9.37770,7.68,4.08,839.1
Update Profile,500,3715,19,7210,732.85,0.200%,8.77994,8.25,4.86,961.8
Get My favourites,500,1906,9,5019,385.33,0.200%,8.76040,2.72,3.96,318.1
Add to favourites,500,2882,3,5016,437.40,0.200%,8.75519,4.84,4.46,565.6
Traveler Auth & Profile,500,15333,3252,21216,2493.98,0.200%,7.68533,36.02,20.27,4799.1
Get All properties,500,2825,984,10724,2126.81,0.400%,7.80177,442.64,3.43,58097.0
Search properties,500,3001,988,9983,2074.70,1.200%,7.23076,347.17,3.40,49165.2
Property Search,500,5827,2018,15973,3735.33,1.600%,7.03324,736.72,6.40,107262.3
logout,500,1827,36,5060,509.69,0.000%,7.12697,2.53,5.27,364.0
Signup - owner,500,3563,141,8738,825.45,0.200%,6.69676,6.60,3.97,1009.5
login - owner,1000,2615,90,6914,883.16,0.500%,12.63296,12.28,7.18,995.5
Get owner profile,500,1172,1,4086,533.35,0.400%,6.63130,4.89,2.92,755.2
Update owner profile,500,1297,57,2988,536.36,0.400%,6.67022,5.52,3.39,847.8
Create property,500,1810,2,6838,1680.17,0.400%,6.76169,4.39,5.57,665.5
Update property,500,3191,1,9944,2094.32,0.400%,6.83023,4.48,3.87,671.2
Delete property,500,2799,1,9824,1657.97,0.400%,7.02080,2.03,3.48,296.7
Owner Auth & Actions,500,18121,4620,32994,5291.15,0.400%,6.07128,33.24,28.75,5606.1
Create booking,500,794,7,2050,381.90,0.400%,7.42677,4.72,4.40,650.8
Update Booking Status,500,644,2,3156,392.30,0.400%,7.70689,4.67,3.97,620.8
Get Owner Bookings,500,715,2,5047,502.03,0.600%,7.79095,2.03,3.64,266.3
Booking Flow,500,6772,940,16053,1818.58,0.800%,7.13929,24.99,19.38,3584.7
TOTAL,12500,3684,1,32994,4469.98,0.408%,129.98492,1231.32,114.37,9700.2
